Codigo_ISO,País,PBI_USD,Poblacion,Pobreza_Nacional,Inflacion_Anual,Indice_Gini,PBI_Billions,Poblacion_Millones
ARG,Argentina,638365455340.04,45696159,38.1,219.883929014578,42.4,638.3654553400401,45.696159
BOL,Bolivia,54881327452.9667,12413315,36.5,5.09976568317427,42.1,54.8813274529667,12.413315
BRA,Brazil,2185821648943.86,211998573,,4.36746407652337,51.6,2185.82164894386,211.998573
CHL,Chile,330267137371.592,19764771,6.5,4.29763891572524,43.0,330.26713737159196,19.764771
COL,Colombia,418818154879.271,52886363,31.8,6.60908593728228,53.9,418.818154879271,52.886363
ECU,Ecuador,124676074700.0,18135478,28.0,1.54732515615369,45.2,124.6760747,18.135478
GUY,Guyana,24662709832.1343,831087,,2.90395226446373,,24.6627098321343,0.831087
PER,Peru,289221969062.941,34217848,27.6,2.00770739412712,40.1,289.22196906294096,34.217848
PRY,Paraguay,44458118397.4445,6929153,20.1,3.83540271728533,44.2,44.4581183974445,6.929153
SUR,Suriname,4416775112.09627,634431,17.6,16.2296159130279,39.2,4.4167751120962695,0.634431
URY,Uruguay,80961511073.5797,3386588,17.3,4.84914366613156,40.0,80.9615110735797,3.386588
VEN,"Venezuela, RB",119802963257.783,28405543,,,,119.802963257783,28.405543
